# extracted_at=2026-06-04T11:59:10Z source=poi_source_raw source_current_rows=8551
relation_record_id,member_record_ids
relation/10436196,way/732151278|way/756845426
relation/11067214,way/687864062|way/799762256|way/799762263
relation/11143556,way/808230033|way/808230028|way/808230034|way/808230035|way/808230036|way/808230029|way/808230030|way/808230031|way/808230032
relation/11239748,node/7651430383|node/7651430382|node/7651430380|node/7651430381|node/7651430379|node/7651430378|node/7651430377|node/7651430376|node/7651430375|node/7651430374|node/7651430373|node/7651430371|node/7651430372|node/7651430370
relation/13422888,way/461729209|way/461729208|node/6479254097
relation/14573992,way/1094007411|way/1094007410
relation/14699579,way/1104190405|way/1104190400|way/1104842392
relation/14716298,way/1105658151|way/1105658148|way/1452082203|way/1452082202
relation/14716299,way/1105658152|way/1105658149|way/1105658158
relation/14716300,way/1105658147|way/1105658153|way/1105658156|way/1452082204|way/1452082197|way/1452082205|way/1452082203
relation/14716301,way/1105658154|way/1105658150|way/1105658155|way/1105658157|way/1105658159|way/1452082199|way/1452082204|way/1452082202|way/1452082205|way/1452082198|way/1452082200|way/1452082206|way/1452082209|way/1452082207|way/1105088601
relation/14716507,way/1105677238|way/1105677239|way/1105677240|way/1105677243|way/1105677242
relation/14716508,way/1105677247|way/1105677246|way/1105677245|way/1105677254|way/1105682747|way/1105685587|way/1105677248
relation/14716509,way/1105677252|way/1105677251
relation/14716535,way/1105682746|way/1105682745
relation/14764468,way/1109911960|way/1109911954|way/1109911961|way/1112417978|way/1220109958|way/1220109964|way/1220109956|way/1220109960|way/1220109969|way/1220109968|way/1220109966|way/1220109961|way/1220110002|way/1220109970|way/1220109971|way/1220109991|way/469236218|way/1220109990|way/1220109988|way/1220109993|way/1220110007|way/1220109994|way/1220110003|way/1220109992|way/1220109995|way/1220109997|way/1220110006|way/1220110008|way/1220110001|way/1220430646|way/1220430649|way/1220430648|way/1220430650|way/1220430654|way/1220430655|way/1220430658|way/1220430659
relation/14766968,way/1110143135|way/1110143134|way/1110143136
relation/14773797,way/1110629235|way/1110629234
relation/14775465,way/1110685926|way/1110685924|way/1110685920|way/1110915173|way/1110915176
